feature,importance
x_std,0.105341956
y_q75,0.079008296
z_min,0.07248998
z_q75,0.0663278
y_q25,0.06557966
y_std,0.06360551
y_max,0.058269434
magnitude_std,0.050743047
y_range,0.038917493
x_iqr,0.035947833
x_range,0.033652138
y_median,0.03180025
magnitude_min,0.030028261
z_q25,0.025394982
z_std,0.025308687
z_iqr,0.023920588
y_mean,0.023831427
z_max,0.02258153
y_iqr,0.016265832
sma,0.012021432
corr_yz,0.011847024
magnitude_max,0.011583269
x_min,0.010443207
y_min,0.00964939
magnitude_mean,0.009511332
x_q75,0.0075631323
z_mean,0.007356101
x_mean,0.007030322
x_q25,0.0070025544
x_max,0.006957827
z_range,0.006750162
x_median,0.006443486
z_median,0.0063993726
corr_xz,0.005966095
corr_xy,0.0044605923
